environment,candidate_id,estimator_family,estimator_type,representation,slot_id,k,h,tau_approx,regularization,requested_index,effective_index,seed,return_auc,failure_probability,median_query_latency_seconds,checkpoint_first,checkpoint_last,checkpoint_count,evaluation_episodes_per_checkpoint,source_row_count,execution_source_commit,source_snapshot_sha256,source_file
ApplicationNavigation-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13000,-8.3455,0.925,0.0010100999999999999,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13001,-6.559399999999998,0.89375,0.0011009499999999998,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13002,-4.693499999999999,0.93125,0.0011611,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13003,-7.405333333333332,0.95,0.00100545,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
ApplicationNavigation-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13004,-5.704199999999999,0.90625,0.0009743499999999999,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13000,-2.174566666666667,0.81875,0.00170405,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13001,-2.1831000000000005,0.81875,0.00166685,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13002,-2.261000000000001,0.8375,0.00157295,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13003,-2.1061333333333336,0.825,0.0017936,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
Reviewer1-transition-dynamics-support-estimator-development,gaussian_density_s2,gaussian_density,regularized_gaussian_density,raw_state,s2,5,0.5,4.0,0.001,auto,brute_force_density_preserving,13004,-2.0853666666666673,0.80625,0.0018591,1000,16000,16,10,160,e273c8ef07f45e6b8d788fcd9200e3cdb8a2c2d8,742ca77d888656ad8bef598c19c64970034574038d720df6054167dd41c2715c,results/reviewer1_remaining/support_development/execution/raw.csv.gz
