environment,metric,left,right,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,paired_t_p,wilcoxon_p,sign_test_p,wins,losses,ties,win_rate_non_ties,paired_t_holm_p,wilcoxon_holm_p,sign_test_holm_p
FourRooms-7-unseen-goals,return_auc,count_gated_tau_1,count_gated_tau_10,5,-0.005983333333333363,-0.029833333333333822,-0.08056666666666672,0.0686,-0.06227077091838429,-0.06666666666666667,0.8959884272585457,1.0,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_1,count_gated_tau_100,5,0.07618333333333331,0.09274999999999967,0.0461666666666666,0.09931666666666672,2.143420201990571,1.0,0.00869354004660137,0.0625,0.0625,5,0,0,1.0,0.13040310069902056,0.9375,0.9375
FourRooms-7-unseen-goals,return_auc,count_gated_tau_1,count_gated_tau_20,5,0.00826666666666669,0.05116666666666703,-0.06596666666666699,0.06856666666666689,0.0922987316412646,0.2,0.8465687421374272,0.8125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_1,count_gated_tau_5,5,0.016350000000000087,0.02766666666666695,-0.08094999999999986,0.1048833333333333,0.13300827734140247,0.2,0.780955753881001,0.8125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_1,count_gated_tau_50,5,0.047799999999999974,0.04458333333333364,0.009583333333333232,0.09613333333333332,0.8552484038231616,0.8666666666666667,0.12839132793170419,0.125,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_10,count_gated_tau_100,5,0.08216666666666668,0.0994999999999997,0.0033000000000000364,0.15751666666666683,0.8239544568013872,0.7333333333333333,0.1392075245663167,0.1875,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_10,count_gated_tau_20,5,0.01425000000000005,0.0007500000000000284,-0.04865000000000004,0.0998166666666668,0.1435223256605804,0.06666666666666667,0.7643344247884325,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_10,count_gated_tau_5,5,0.022333333333333448,0.02400000000000002,-0.1067666666666665,0.1514333333333334,0.1351180233446409,0.06666666666666667,0.7776087696739811,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_10,count_gated_tau_50,5,0.053783333333333336,0.06725000000000003,-0.016716666666666713,0.11811666666666673,0.6504728821096175,0.4666666666666667,0.21949164479600333,0.4375,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_100,count_gated_tau_20,5,-0.06791666666666663,-0.032333333333333325,-0.11879999999999993,-0.022766666666666602,-1.0976358803895556,-1.0,0.0701133246135358,0.0625,0.0625,0,5,0,0.0,0.9815865445895011,0.9375,0.9375
FourRooms-7-unseen-goals,return_auc,count_gated_tau_100,count_gated_tau_5,5,-0.059833333333333225,-0.0807500000000001,-0.17344999999999988,0.053433333333333485,-0.4142347637661028,-0.4666666666666667,0.40673852995868914,0.4375,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_100,count_gated_tau_50,5,-0.028383333333333337,-0.03183333333333338,-0.05806666666666671,0.009883333333333333,-0.638772271452004,-0.6,0.2263872496567127,0.3125,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,count_gated_tau_5,5,0.008083333333333397,-0.048416666666666774,-0.09928333333333325,0.1543833333333334,0.04777527563244522,-0.2,0.9200683535567192,0.8125,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_20,count_gated_tau_50,5,0.03953333333333329,0.03725000000000023,-0.004350000000000076,0.08603333333333323,0.6731680309413434,0.6,0.20671394466272855,0.3125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-7-unseen-goals,return_auc,count_gated_tau_5,count_gated_tau_50,5,0.03144999999999989,0.04325000000000001,-0.07771666666666688,0.12654999999999994,0.24676135627433698,0.4666666666666667,0.610477657601516,0.4375,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_10,5,-0.023600000000000242,0.0919999999999992,-0.2049999999999998,0.1221999999999995,-0.11204617150572609,-0.06666666666666667,0.8145103812020704,1.0,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_100,5,-0.12620000000000023,-0.23650000000000082,-0.2715000000000001,0.053200000000000004,-0.6031759894533565,-0.7333333333333333,0.2487201777939037,0.1875,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_20,5,-0.23270000000000074,-0.05050000000000088,-0.5342000000000006,0.017699999999998984,-0.6547346916727887,-0.4666666666666667,0.21703276709649097,0.4375,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_5,5,-0.20010000000000033,-0.11349999999999949,-0.35670000000000046,-0.07290000000000049,-1.126686242254923,-1.0,0.06540225878067715,0.0625,0.0625,0,5,0,0.0,0.850229364148803,0.9375,0.9375
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_1,count_gated_tau_50,5,-0.11690000000000018,-0.11850000000000005,-0.18570000000000025,-0.05250000000000021,-1.3429974307279309,-1.0,0.039822694538244996,0.0625,0.0625,0,5,0,0.0,0.5663079681343774,0.9375,0.9375
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_100,5,-0.10259999999999998,-0.11850000000000094,-0.24079999999999968,0.03210000000000015,-0.5633745336754209,-0.6,0.276252624441196,0.3125,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_20,5,-0.2091000000000005,-0.1625000000000001,-0.3209000000000005,-0.10050000000000052,-1.3673151693119237,-1.0,0.03775386454229183,0.0625,0.0625,0,5,0,0.0,0.5663079681343774,0.9375,0.9375
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_5,5,-0.1765000000000001,-0.18200000000000038,-0.4048999999999999,0.06420000000000008,-0.6287891301772184,-0.4666666666666667,0.23244174917737676,0.4375,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_10,count_gated_tau_50,5,-0.09329999999999994,-0.12950000000000017,-0.2651,0.0785000000000001,-0.4064686204257189,-0.4666666666666667,0.4148174588937361,0.4375,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_20,5,-0.10650000000000052,-0.16799999999999948,-0.33410000000000073,0.15059999999999932,-0.34514310555495553,-0.3333333333333333,0.48331749728215706,0.625,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_5,5,-0.07390000000000012,-0.06349999999999945,-0.2148000000000006,0.06990000000000003,-0.4072047191095109,-0.6,0.4140460076005338,0.3125,0.375,1,4,0,0.2,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_100,count_gated_tau_50,5,0.009300000000000041,0.14050000000000007,-0.14350000000000046,0.16210000000000052,0.04539640726978333,-0.2,0.9240309026126745,0.8125,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_20,count_gated_tau_5,5,0.032600000000000406,-0.028499999999999748,-0.30619999999999964,0.3833000000000007,0.07630182906762772,0.06666666666666667,0.8728080909493093,1.0,1.0,2,3,0,0.4,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_20,count_gated_tau_50,5,0.11580000000000057,0.03299999999999992,-0.16459999999999947,0.3962000000000006,0.3154374361767015,0.3333333333333333,0.5195065588677759,0.625,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,mean_return,count_gated_tau_5,count_gated_tau_50,5,0.08320000000000016,0.08149999999999968,-0.08709999999999977,0.25170000000000037,0.37473979947572966,0.4666666666666667,0.4492122437711745,0.4375,1.0,3,2,0,0.6,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_10,5,0.040000000000000015,0.05000000000000002,-0.02999999999999998,0.09,0.4868644955601479,0.6,0.3375018565403644,0.3125,0.375,4,1,0,0.8,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_100,5,1.1102230246251566e-17,0.0,-0.059999999999999984,0.06000000000000001,1.4043333874306804e-16,0.2,0.9999999999999998,0.875,1.0,2,2,1,0.5,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_20,5,-0.019999999999999983,0.0,-0.08999999999999998,0.040000000000000015,-0.23904572186687853,0.0,0.6213082950374974,1.0,1.0,2,2,1,0.5,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_5,5,-0.00999999999999999,0.0,-0.059999999999999984,0.04000000000000001,-0.15339299776947393,0.0,0.7488684500235268,1.0,1.0,2,2,1,0.5,1.0,1.0,1.0
FourRooms-9-slip-unseen-goals,success_rate,count_gated_tau_1,count_gated_tau_50,5,-0.02999999999999999,-0.04999999999999999,-0.06999999999999998,0.010000000000000014,-0.5262348115842174,-0.4,0.3045587846805348,0.625,0.625,1,3,1,0.25,1.0,1.0,1.0
