environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,seconds_per_1000_steps,return_auc
FrozenLake-v1,count_gated_tau_100,4,10000,0.7,0.7,48.25,12.568191699974705,10000,610,11.135831399995368,1.4323602999793366,0.8469523604390895,0.0,1.0,1.0,11.0,1.1135831399995368,0.45625
FrozenLake-v1,count_gated_tau_20,0,10000,0.4,0.4,80.15,13.060205900052097,10000,610,11.231480800139252,1.8287250999128448,0.9562935260968664,0.0,1.0,1.0,11.0,1.1231480800139253,0.5625
FrozenLake-v1,count_gated_tau_20,1,10000,0.85,0.85,41.1,12.872788699984085,10000,610,11.319437399914024,1.5533513000700625,0.9581380242872196,0.0,1.0,1.0,11.0,1.1319437399914025,0.625
FrozenLake-v1,count_gated_tau_20,2,10000,0.7,0.7,44.4,13.051565000030678,10000,610,11.353946800052654,1.6976181999780238,0.9579253082538678,0.0,1.0,1.0,11.0,1.1353946800052654,0.475
FrozenLake-v1,count_gated_tau_20,3,10000,0.75,0.75,33.4,13.06641930004116,10000,610,11.513398899987806,1.5530204000533558,0.9561909607064956,0.0,1.0,1.0,11.0,1.1513398899987806,0.55
FrozenLake-v1,count_gated_tau_20,4,10000,0.8,0.8,35.05,12.909296700032428,10000,610,11.544943599961698,1.36435310007073,0.9590758329976974,0.0,1.0,1.0,11.0,1.15449435999617,0.48125
FrozenLake-v1,count_gated_tau_5,0,10000,0.45,0.45,48.1,12.818969500018284,10000,610,11.253318399947602,1.5656511000706814,0.9885886660382712,0.0,1.0,1.0,11.0,1.1253318399947603,0.54375
FrozenLake-v1,count_gated_tau_5,1,10000,0.85,0.85,41.1,12.849903800000902,10000,610,11.217944400035776,1.631959399965126,0.9875362379761848,0.0,1.0,1.0,11.0,1.1217944400035775,0.55625
FrozenLake-v1,count_gated_tau_5,2,10000,0.65,0.65,47.85,13.112197200010996,10000,610,11.421922900015488,1.690274299995508,0.987362474165244,0.0,1.0,1.0,11.0,1.1421922900015489,0.3875
FrozenLake-v1,count_gated_tau_5,3,10000,0.75,0.75,33.4,12.59501759998966,10000,610,11.290651499992236,1.3043660999974236,0.9879023675106292,0.0,1.0,1.0,11.0,1.1290651499992237,0.5
