algorithm,environment,training_seed,condition,mean_return,median_return,cvar10_return,decision_weighted_support_coverage,episode_mean_support_coverage,exact_recurrence_rate_episode_mean,unhealthy_termination_rate,truncation_rate,mean_critic_gap,mean_tqc_quantile_iqr,final_eval_episodes,final_eval_decisions
CrossQ,Walker2d-v5,22002,OBS_DELAY_1,838.2532745887399,557.3534678351634,172.20871885433738,0.8116661495501086,0.7065056239701719,0.0,0.9,0.1,5.028884788935683,,30,6446
CrossQ,Walker2d-v5,22003,ACT_GAIN_075,3245.804132190369,3685.1706501443637,1730.0946528220118,0.9788659093994659,0.9703491479284292,0.0,0.6333333333333333,0.36666666666666664,3.525683738629166,,30,22097
CrossQ,Walker2d-v5,22003,COMBINED_DELAY_GAIN,1655.2445449537825,976.0860904503311,490.2412165544236,0.9428973976462788,0.9292108450099271,0.0,0.9333333333333333,0.06666666666666667,4.977340705534074,,30,12066
CrossQ,Walker2d-v5,22003,NOMINAL,4790.222398270134,4783.596069686086,4766.86898698915,1.0,1.0,0.0,0.0,1.0,1.7907837829589845,,30,30000
CrossQ,Walker2d-v5,22003,OBS_DELAY_1,4248.9321767826905,5029.3889558515475,332.2846270527713,0.9831371177681937,0.9645693180653745,0.0,0.16666666666666666,0.8333333333333334,2.6101506619033548,,30,25737
CrossQ,Walker2d-v5,22004,ACT_GAIN_075,405.03559114583953,253.88036895235535,233.89943702711787,0.9414236282748394,0.946470257852942,0.0,1.0,0.0,5.2075107969559005,,30,4046
CrossQ,Walker2d-v5,22004,COMBINED_DELAY_GAIN,999.9628285138157,1156.3704148444544,287.94148362904457,0.8818353236957888,0.9110884914814393,0.0,1.0,0.0,4.482545018237242,,30,7955
CrossQ,Walker2d-v5,22004,NOMINAL,3693.5851240427137,5170.18812359207,198.25421596373405,0.989066519661889,0.9481702552618455,0.0,0.3,0.7,3.2589255720291392,,30,21768
CrossQ,Walker2d-v5,22004,OBS_DELAY_1,5173.874126579327,5195.737526992247,4978.908014031414,0.9926666666666667,0.9926666666666667,0.0,0.0,1.0,2.4149484863281243,,30,30000
SAC,HalfCheetah-v5,22000,ACT_GAIN_075,2731.6871307113374,2723.6010287300824,2689.1751317368366,1.0,1.0,0.0,,1.0,1.0291217549641927,,30,30000
SAC,HalfCheetah-v5,22000,COMBINED_DELAY_GAIN,1599.5624438725656,1610.4585948232916,1371.2088358182373,0.9901333333333333,0.9901333333333334,0.0,,1.0,1.6782830810546876,,30,30000
SAC,HalfCheetah-v5,22000,NOMINAL,4100.056970995879,4105.82508920786,4006.7555914222194,0.9998,0.9998,0.0,,1.0,1.0139357401529947,,30,30000
SAC,HalfCheetah-v5,22000,OBS_DELAY_1,859.4888994081468,894.2745768799841,420.81822106759796,0.8528333333333333,0.8528333333333333,0.0,,1.0,2.3380111655394233,,30,30000
SAC,HalfCheetah-v5,22001,ACT_GAIN_075,1198.472925076402,1194.427886031564,1161.5390921319924,0.9982,0.9982000000000001,0.0,,1.0,0.48820249430338536,,30,30000
SAC,HalfCheetah-v5,22001,COMBINED_DELAY_GAIN,401.3931396357354,401.79368504522176,357.3273306684605,0.9948,0.9947999999999999,0.0,,1.0,0.6996930694580078,,30,30000
SAC,HalfCheetah-v5,22001,NOMINAL,1407.95821110915,1407.9395818839096,1340.2929089331308,0.9943,0.9942999999999997,0.0,,1.0,0.4907122751871745,,30,30000
SAC,HalfCheetah-v5,22001,OBS_DELAY_1,346.4934726101485,347.25932635955576,164.18547595726974,0.8907,0.8907,0.0,,1.0,1.0182199427286782,,30,30000
SAC,HalfCheetah-v5,22002,ACT_GAIN_075,1131.4810331908957,1131.1780524389244,1097.9739353990014,0.9999333333333333,0.9999333333333333,0.0,,1.0,0.5199158325195313,,30,30000
SAC,HalfCheetah-v5,22002,COMBINED_DELAY_GAIN,444.15598364918463,453.39751855014254,213.60927691222275,0.9990333333333333,0.9990333333333332,0.0,,1.0,0.865883466084798,,30,30000
SAC,HalfCheetah-v5,22002,NOMINAL,1237.6666545682237,1250.328933377411,1126.6436887177208,0.9864,0.9863999999999999,0.0,,1.0,0.4166633173624675,,30,30000
SAC,HalfCheetah-v5,22002,OBS_DELAY_1,210.33230058119824,212.8872697343581,52.97091555831691,0.9313,0.9313,0.0,,1.0,1.0159585774739583,,30,30000
SAC,HalfCheetah-v5,22003,ACT_GAIN_075,2821.403767191378,2816.237982041594,2754.9665212278364,0.9999666666666667,0.9999666666666668,0.0,,1.0,1.2328007303873696,,30,30000
SAC,HalfCheetah-v5,22003,COMBINED_DELAY_GAIN,1123.175171493481,1070.7533186917353,874.6360419986008,0.9905,0.9905,0.0,,1.0,2.2093245239257806,,30,30000
SAC,HalfCheetah-v5,22003,NOMINAL,4285.549797562178,4286.551864375204,4154.357916246335,0.9973666666666666,0.9973666666666666,0.0,,1.0,0.8991059875488283,,30,30000
SAC,HalfCheetah-v5,22003,OBS_DELAY_1,512.0444761168415,512.8873004366459,373.5147813372118,0.8065,0.8064999999999999,0.0,,1.0,2.7841918392181397,,30,30000
SAC,HalfCheetah-v5,22004,ACT_GAIN_075,2855.5997828965474,2859.6596333239313,2795.351169349155,1.0,1.0,0.0,,1.0,0.9859007873535156,,30,30000
SAC,HalfCheetah-v5,22004,COMBINED_DELAY_GAIN,1669.0262219471044,1685.5342825056935,1408.3082215105276,0.9968333333333333,0.9968333333333332,0.0,,1.0,2.1942588399251304,,30,30000
