report_family,evidence_class,primary_confirmatory,environment_or_severity,contrast_name,left,right,metric,n_pairs,mean_difference,median_difference,bootstrap_ci_low,bootstrap_ci_high,cohen_dz,rank_biserial,wins,losses,ties,raw_paired_t_p,report_holm_paired_t_p,global_holm_paired_t_p,raw_wilcoxon_p,report_holm_wilcoxon_p,global_holm_wilcoxon_p,source_file,source_row
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-8x8-slippery,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,0.0316666666666666,0.0119047619047619,0.0117460317460317,0.0528571428571428,0.5468129912007148,0.645320197044335,20,8,2,0.0055679578287901,0.0946552830894325,0.2951017649258753,0.0028484476850691,0.0484236106461761,0.1481192796235932,results/confirmatory_extended_compact/planned_contrasts.csv,14
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-8x8-slippery,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,0.027063492063492,0.0083333333333333,0.014125,0.0413492063492063,0.6925069518611172,0.8181818181818182,17,5,8,0.0006996715118516,0.01259408721333,0.038481933151837996,0.0007763817259723,0.0139748710675017,0.0419246132025042,results/confirmatory_extended_compact/planned_contrasts.csv,7
confirmatory_extended_compact.planned,confirmatory,True,FrozenLake-8x8-slippery,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,0.0049206349206349,0.0011904761904761,-0.0146825396825396,0.0251587301587301,0.0853333860804807,0.1084656084656084,15,12,3,0.6437138261712776,1.0,1.0,0.6223445441469178,1.0,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,28
confirmatory_extended_compact.planned,confirmatory,True,Taxi-v3-compatible,count_vs_fixed,count_gated_tau_20,fixed_hybrid,return_auc,30,2.8364285714285766,0.0,-0.1635714285714215,5.6914464285714335,0.3363926380913836,0.4805194805194805,14,7,9,0.0756480961623951,0.907777153948742,1.0,0.0536162434136643,0.6970111643776361,1.0,results/confirmatory_extended_compact/planned_contrasts.csv,22
confirmatory_extended_compact.planned,confirmatory,True,Taxi-v3-compatible,count_vs_tabular,count_gated_tau_20,tabular,return_auc,30,154.37880952380957,151.41666666666666,135.75502976190478,173.0038234126984,2.9035483964351685,1.0,30,0,0,7.361586573658466e-16,1.6195490462048622e-14,4.932263004351172e-14,1.862645149230957e-09,5.21540641784668e-08,1.471489667892456e-07,results/confirmatory_extended_compact/planned_contrasts.csv,15
confirmatory_extended_compact.planned,confirmatory,True,Taxi-v3-compatible,count_vs_validated_dqn,count_gated_tau_20,validated_dqn,return_auc,30,-11.885714285714284,-4.242857142857147,-23.86587500000001,-0.2649107142857151,-0.3551821502178302,-0.6608187134502924,2,16,12,0.0614768357087879,0.860675699923032,1.0,0.0138481388690566,0.2077220830358503,0.6785588045837734,results/confirmatory_extended_compact/planned_contrasts.csv,8
confirmatory_extended_compact.planned,confirmatory,True,Taxi-v3-compatible,support_abstain_vs_count,support_abstain_tau_20,count_gated_tau_20,return_auc,30,-35.203650793650795,-36.54642857142858,-44.668113095238105,-25.53713492063492,-1.28899747198658,-0.9268817204301076,3,27,0,9.125622066377923e-08,1.7338681926118052e-06,5.201604577835416e-06,3.855675458908081e-07,8.09691846370697e-06,2.3905187845230103e-05,results/confirmatory_extended_compact/planned_contrasts.csv,29
dqn_strong_validation.planned,confirmatory,True,CliffWalking-v1,validated_vs_original_dqn,validated_dqn,original_selected_dqn,return_auc,30,0.0,0.0,0.0,0.0,0.0,0.0,0,0,30,1.0,1.0,1.0,1.0,1.0,1.0,results/dqn_strong_validation/planned_contrasts.csv,2
dqn_strong_validation.planned,confirmatory,True,FourRooms-11-slip-unseen-goals,validated_vs_original_dqn,validated_dqn,original_selected_dqn,return_auc,30,0.052578806584362,0.0146790123456792,-0.0280906635802468,0.1359416255144029,0.2251391210076136,0.1913978494623656,16,14,0,0.2274269463049187,0.9097077852196748,1.0,0.370740607380867,1.0,1.0,results/dqn_strong_validation/planned_contrasts.csv,3
dqn_strong_validation.planned,confirmatory,True,FourRooms-7-unseen-goals,validated_vs_original_dqn,validated_dqn,original_selected_dqn,return_auc,30,0.0382550505050505,0.0181060606060609,-0.0086855934343434,0.0857255176767677,0.2818459984499423,0.2731182795698925,18,12,0,0.1334961739572837,0.6674808697864185,1.0,0.1980757992714643,1.0,1.0,results/dqn_strong_validation/planned_contrasts.csv,4
