environment,agent,seed,phase,checkpoint,episode,trace_steps,initial_trajectory_error,trajectory_error_mean,trajectory_error_min,trajectory_error_max,trajectory_error_final,recovery_event_count,recovery_event_occurred,constraint_steps,constraint_duration_seconds,saturation_steps,saturation_duration_seconds,target_visibility_fraction,target_visible_any,target_visible_all,episode_success,failure_stage,source_file
combined_executed_condition,feed_forward_dqn,16008,eval,120,1,30,0.8235893886691346,0.8405503253142039,0.8235219120979309,0.8803724050521851,0.8803724050521851,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,120,2,30,0.8625076582683263,0.8472545246283213,0.813610315322876,0.862494945526123,0.813610315322876,0,0,30,0.5,0,0.0,1.0,1,1,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,120,3,30,0.8581950197646356,0.8421243508656819,0.8065485954284668,0.8581745624542236,0.8065485954284668,0,0,13,0.21666666666666667,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,120,4,30,0.7968188057628578,0.7826149384180705,0.7473483681678772,0.7968164086341858,0.7473483681678772,0,0,30,0.5,0,0.0,0.5666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,240,1,30,0.853194520527071,0.8367958505948384,0.7967808246612549,0.853175938129425,0.7967808246612549,0,0,16,0.26666666666666666,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,240,2,30,0.8424203907915403,0.847495949268341,0.8408688902854919,0.8746320605278015,0.8746320605278015,0,0,30,0.5,0,0.0,0.6,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,240,3,30,0.8803591450199452,0.883700825770696,0.8788233399391174,0.8962337374687195,0.8962337374687195,0,0,0,0.0,0,0.0,0.6333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16008,eval,240,4,30,0.8588744484302302,0.8476505915323893,0.8178891539573669,0.8588588237762451,0.8178891539573669,1,1,29,0.48333333333333334,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,120,1,30,0.876211708104512,0.8692090968290965,0.8533296585083008,0.8761568069458008,0.8533296585083008,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,120,2,30,0.8708465983360214,0.8532843629519145,0.8096057772636414,0.8709309697151184,0.8096057772636414,0,0,30,0.5,0,0.0,0.43333333333333335,1,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,120,3,30,0.8113752430025665,0.7981626152992248,0.7695362567901611,0.8113406896591187,0.7695362567901611,0,0,30,0.5,0,0.0,0.43333333333333335,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,120,4,30,0.8277751653987196,0.8403890947500865,0.8276299834251404,0.8723612427711487,0.8723612427711487,0,0,0,0.0,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,240,1,30,0.8149454410829534,0.822779776652654,0.814990758895874,0.8328433632850647,0.8328433632850647,0,0,0,0.0,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,240,2,30,0.8131800953832262,0.8201608677705129,0.8125993013381958,0.8387657999992371,0.8387657999992371,0,0,23,0.3833333333333333,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,240,3,30,0.85079105683775,0.8538322408994039,0.8507087230682373,0.8604446053504944,0.8604446053504944,0,0,14,0.23333333333333334,0,0.0,1.0,1,1,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16009,eval,240,4,30,0.874304815324095,0.8591373324394226,0.8164293169975281,0.8743147850036621,0.8164293169975281,0,0,4,0.06666666666666667,0,0.0,0.43333333333333335,1,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,120,1,30,0.8149073702828136,0.8284206589063009,0.8147076368331909,0.8703035712242126,0.8703035712242126,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,120,2,30,0.873818811642098,0.8776782592137654,0.872431755065918,0.8950483798980713,0.8950483798980713,0,0,9,0.15,0,0.0,0.36666666666666664,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,120,3,30,0.8733566938844399,0.8647189319133759,0.8403680920600891,0.8737224340438843,0.8403680920600891,0,0,30,0.5,0,0.0,0.9666666666666667,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,120,4,30,0.8103838602422326,0.8198747436205546,0.8100635409355164,0.8467031121253967,0.8467031121253967,0,0,20,0.3333333333333333,0,0.0,0.0,0,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,240,1,30,0.8400020524502276,0.8545228083928426,0.8385760188102722,0.9039019346237184,0.9039019346237184,0,0,16,0.26666666666666666,0,0.0,0.36666666666666664,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,240,2,30,0.8235582396329384,0.7985532859961192,0.7497743964195251,0.8234684467315674,0.7497743964195251,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,240,3,30,0.8834360315315889,0.8591413915157318,0.8003673553466797,0.8834307193756104,0.8003673553466797,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16010,eval,240,4,30,0.8840356615954933,0.856259165207545,0.7932301163673401,0.8841089606285095,0.7932301163673401,0,0,30,0.5,0,0.0,0.0,0,0,0,timeout_partial_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
combined_executed_condition,feed_forward_dqn,16011,eval,120,1,30,0.8630866178550616,0.8606024821599324,0.8571945428848267,0.8631560206413269,0.8604776263237,0,0,30,0.5,0,0.0,0.9333333333333333,1,0,0,timeout_no_progress,results/reviewer1_remaining/sensorized_final/trace_shards/*.csv.gz
